Dia, Afectados, Criticos, Exitus, Estado
1,5594.0625,573.75,143.4375,No Saturación
2,7363.184765625001,1328.9484375000002,332.23710937500005,No Saturación
3,9691.791947753909,2322.9783808593756,580.7445952148439,No Saturación
4,12756.821151231085,3631.3702938061533,907.8425734515383,Saturación
5,16791.165840307913,5353.54114922235,1338.3852873055876,Saturación
6,22101.372037305293,7620.348537663918,1905.0871344159796,Saturación
7,29090.930944103093,10604.033762700134,2651.0084406750334,Saturación
8,38290.937855175696,14531.309440154051,3632.827360038513,Saturación
9,50400.44695187501,19700.58605060277,4925.146512650693,Saturación
10,66339.58830040549,26504.6463891059,6626.161597276475,Saturación
11,87319.48310040873,35460.49080966064,8865.12270241516,Saturación
12,114934.26963091301,47248.62102821582,11812.155257053955,Saturación
13,151282.23240168925,62764.74742838908,15691.18685709727,Saturación
14,199125.2383987235,83187.84880261713,20796.96220065428,Saturación
15,262098.59504231982,110069.7559864448,27517.4389966112,Saturación
16,344987.2757244535,145453.066317158,36363.2665792895,Saturación
17,454089.501672312,192026.34853995923,48006.58713498981,Saturación
18,597695.3065761807,253328.43126572136,63332.10781643034,Saturación
19,786716.4472808979,334017.29765350575,83504.32441337644,Saturación
20,1035515.5237334818,440224.018036427,110056.00450910674,Saturación
21,1362997.3081141955,580018.613740447,145004.65343511174,Saturación
