Dia,	 Afectados,	 Críticos,	 Exitus,	 Estado
0,		 4250,		 425,		 10,		 No saturación
1,		 5738,		 573,		 14,		 No saturación
2,		 7746,		 774,		 19,		 No saturación
3,		 10457,		 1045,		 26,		 No saturación
4,		 14116,		 1411,		 35,		 No saturación
5,		 19057,		 1905,		 47,		 No saturación
6,		 25727,		 2572,		 64,		 No saturación
7,		 34732,		 3473,		 86,		 Saturación
8,		 46888,		 4688,		 117,		 Saturación
9,		 63298,		 6329,		 158,		 Saturación
10,		 85453,		 8545,		 213,		 Saturación
11,		 115361,		 11536,		 288,		 Saturación
12,		 155738,		 15573,		 389,		 Saturación
13,		 210246,		 21024,		 525,		 Saturación
14,		 283832,		 28383,		 709,		 Saturación
15,		 383173,		 38317,		 957,		 Saturación
16,		 517284,		 51728,		 1293,		 Saturación
17,		 698334,		 69833,		 1745,		 Saturación
18,		 942750,		 94275,		 2356,		 Saturación
19,		 1272713,		 127271,		 3181,		 Saturación
20,		 1718163,		 171816,		 4295,		 Saturación
